student,nominal_supervised_tokens,readout,tau,kind,method,recommended_D_U,recommendation_position,recommended_trajectory_ids,conservative_trajectory_ids,recommendation_meets_loss_constraint,recommended_D_U_seen,conservative_D_U,conservative_D_U_seen,conservative_uses_unverified_ceiling,conservative_meets_loss_constraint,credited_savings_fraction,actual_budget_relative_span,measured_crossing,request_id,log_distance,inside_interval,signed_log_distance,distance_status,interval_width_tokens,interval_log_width,width_status,measured_lower_bound_D_U,measured_upper_bound_D_U,conservative_interval_metrics,log_recommendation_over_conservative
gemma3-1b,50000,code:MBPP,0.0,boundary,boundary_loglinear,,,[],"[""gemma3-1b-above-r1"", ""gemma3-1b-above-r2"", ""gemma3-1b-above-r3""]",,,158391,49943.333333333336,True,False,,0.008470493777599453,"{""status"": ""non_monotone"", ""interval"": null}",gemma3-1b|50000|code:MBPP|0.0,,,,unresolved_interval,,,unresolved,,,"{""log_distance"": null, ""inside_interval"": null, ""signed_log_distance"": null, ""distance_status"": ""unresolved_interval"", ""interval_width_tokens"": null, ""interval_log_width"": null, ""width_status"": ""unresolved"", ""measured_lower_bound_D_U"": null, ""measured_upper_bound_D_U"": null}",
gemma3-1b,50000,code:MBPP,0.0,boundary,fixed_reuse,,,[],"[""gemma3-1b-above-r1"", ""gemma3-1b-above-r2"", ""gemma3-1b-above-r3""]",,,158391,49943.333333333336,True,False,,0.008470493777599453,"{""status"": ""non_monotone"", ""interval"": null}",gemma3-1b|50000|code:MBPP|0.0,,,,unresolved_interval,,,unresolved,,,"{""log_distance"": null, ""inside_interval"": null, ""signed_log_distance"": null, ""distance_status"": ""unresolved_interval"", ""interval_width_tokens"": null, ""interval_log_width"": null, ""width_status"": ""unresolved"", ""measured_lower_bound_D_U"": null, ""measured_upper_bound_D_U"": null}",
gemma3-1b,50000,code:MBPP,0.0,boundary,student_isotonic,,,[],"[""gemma3-1b-above-r1"", ""gemma3-1b-above-r2"", ""gemma3-1b-above-r3""]",,,158391,49943.333333333336,True,False,,0.008470493777599453,"{""status"": ""non_monotone"", ""interval"": null}",gemma3-1b|50000|code:MBPP|0.0,,,,unresolved_interval,,,unresolved,,,"{""log_distance"": null, ""inside_interval"": null, ""signed_log_distance"": null, ""distance_status"": ""unresolved_interval"", ""interval_width_tokens"": null, ""interval_log_width"": null, ""width_status"": ""unresolved"", ""measured_lower_bound_D_U"": null, ""measured_upper_bound_D_U"": null}",
gemma3-1b,50000,code:MBPP,0.0,delta,boundary_loglinear,,,[],"[""gemma3-1b-above-r1"", ""gemma3-1b-above-r2"", ""gemma3-1b-above-r3""]",,,158391,49943.333333333336,True,False,,0.008470493777599453,"{""status"": ""non_monotone"", ""interval"": null}",gemma3-1b|50000|code:MBPP|0.0,,,,unresolved_interval,,,unresolved,,,"{""log_distance"": null, ""inside_interval"": null, ""signed_log_distance"": null, ""distance_status"": ""unresolved_interval"", ""interval_width_tokens"": null, ""interval_log_width"": null, ""width_status"": ""unresolved"", ""measured_lower_bound_D_U"": null, ""measured_upper_bound_D_U"": null}",
gemma3-1b,50000,code:MBPP,0.0,delta,fixed_reuse,,,[],"[""gemma3-1b-above-r1"", ""gemma3-1b-above-r2"", ""gemma3-1b-above-r3""]",,,158391,49943.333333333336,True,False,,0.008470493777599453,"{""status"": ""non_monotone"", ""interval"": null}",gemma3-1b|50000|code:MBPP|0.0,,,,unresolved_interval,,,unresolved,,,"{""log_distance"": null, ""inside_interval"": null, ""signed_log_distance"": null, ""distance_status"": ""unresolved_interval"", ""interval_width_tokens"": null, ""interval_log_width"": null, ""width_status"": ""unresolved"", ""measured_lower_bound_D_U"": null, ""measured_upper_bound_D_U"": null}",
gemma3-1b,50000,code:MBPP,0.0,delta,student_isotonic,,,[],"[""gemma3-1b-above-r1"", ""gemma3-1b-above-r2"", ""gemma3-1b-above-r3""]",,,158391,49943.333333333336,True,False,,0.008470493777599453,"{""status"": ""non_monotone"", ""interval"": null}",gemma3-1b|50000|code:MBPP|0.0,,,,unresolved_interval,,,unresolved,,,"{""log_distance"": null, ""inside_interval"": null, ""signed_log_distance"": null, ""distance_status"": ""unresolved_interval"", ""interval_width_tokens"": null, ""interval_log_width"": null, ""width_status"": ""unresolved"", ""measured_lower_bound_D_U"": null, ""measured_upper_bound_D_U"": null}",
gemma3-1b,50000,code:MBPP,0.1,boundary,boundary_loglinear,32156.666666666668,near,"[""gemma3-1b-near-r1"", ""gemma3-1b-near-r2"", ""gemma3-1b-near-r3""]","[""gemma3-1b-above-r1"", ""gemma3-1b-above-r2"", ""gemma3-1b-above-r3""]",False,32156.666666666668,158391,49943.333333333336,False,False,,0.008470493777599453,"{""status"": ""non_monotone"", ""interval"": null}",gemma3-1b|50000|code:MBPP|0.1,,,,unresolved_interval,,,unresolved,,,"{""log_distance"": null, ""inside_interval"": null, ""signed_log_distance"": null, ""distance_status"": ""unresolved_interval"", ""interval_width_tokens"": null, ""interval_log_width"": null, ""width_status"": ""unresolved"", ""measured_lower_bound_D_U"": null, ""measured_upper_bound_D_U"": null}",-1.5944468690699407
gemma3-1b,50000,code:MBPP,0.1,boundary,fixed_reuse,158391,above,"[""gemma3-1b-above-r1"", ""gemma3-1b-above-r2"", ""gemma3-1b-above-r3""]","[""gemma3-1b-above-r1"", ""gemma3-1b-above-r2"", ""gemma3-1b-above-r3""]",False,49943.333333333336,158391,49943.333333333336,False,False,,0.008470493777599453,"{""status"": ""non_monotone"", ""interval"": null}",gemma3-1b|50000|code:MBPP|0.1,,,,unresolved_interval,,,unresolved,,,"{""log_distance"": null, ""inside_interval"": null, ""signed_log_distance"": null, ""distance_status"": ""unresolved_interval"", ""interval_width_tokens"": null, ""interval_log_width"": null, ""width_status"": ""unresolved"", ""measured_lower_bound_D_U"": null, ""measured_upper_bound_D_U"": null}",0.0
gemma3-1b,50000,code:MBPP,0.1,boundary,student_isotonic,158391,above,"[""gemma3-1b-above-r1"", ""gemma3-1b-above-r2"", ""gemma3-1b-above-r3""]","[""gemma3-1b-above-r1"", ""gemma3-1b-above-r2"", ""gemma3-1b-above-r3""]",False,49943.333333333336,158391,49943.333333333336,False,False,,0.008470493777599453,"{""status"": ""non_monotone"", ""interval"": null}",gemma3-1b|50000|code:MBPP|0.1,,,,unresolved_interval,,,unresolved,,,"{""log_distance"": null, ""inside_interval"": null, ""signed_log_distance"": null, ""distance_status"": ""unresolved_interval"", ""interval_width_tokens"": null, ""interval_log_width"": null, ""width_status"": ""unresolved"", ""measured_lower_bound_D_U"": null, ""measured_upper_bound_D_U"": null}",0.0
gemma3-1b,50000,code:MBPP,0.1,delta,boundary_loglinear,32156.666666666668,near,"[""gemma3-1b-near-r1"", ""gemma3-1b-near-r2"", ""gemma3-1b-near-r3""]","[""gemma3-1b-above-r1"", ""gemma3-1b-above-r2"", ""gemma3-1b-above-r3""]",False,32156.666666666668,158391,49943.333333333336,False,False,,0.008470493777599453,"{""status"": ""non_monotone"", ""interval"": null}",gemma3-1b|50000|code:MBPP|0.1,,,,unresolved_interval,,,unresolved,,,"{""log_distance"": null, ""inside_interval"": null, ""signed_log_distance"": null, ""distance_status"": ""unresolved_interval"", ""interval_width_tokens"": null, ""interval_log_width"": null, ""width_status"": ""unresolved"", ""measured_lower_bound_D_U"": null, ""measured_upper_bound_D_U"": null}",-1.5944468690699407
